"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"KundeName";"Warenempfänger";"A_Adresse";"A_Hausnummer";"Land";"Postleitzahl";"Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt";"Tour";"VersandLager";"Lagerplatz";"LagerBestand";"Eingelagert";"PA_Status";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"Projekt";"ProjektArtikel";"Warenempfänger_String"
"6910.9000";"Waschbecken Keramik";"300012235";"300012235-10";10;"Richter + Frenzel Passau";"H00000351";"Emil-Richter-Str.";"1";"DE";"94036";"Passau";"DE-4949692               ";13.10.2011 00:00:00;19.10.2011 00:00:00;30.00;30.00;716.58;1.00;"Euro";19;"F-R&F";"200";"A000      ";1.00;1;9;"SP00099067708500 0001";"77 Glaswaschtisch 120mm";"77";"neo.2";"SP0009906";"7708500 0001";"Richter + Frenzel GmbH + Co.KG, Emil-Richter-Str. 1, DE-94036 Passau"
"9403.6000";"Holzmöbel";"300012235";"300012235-11";11;"Richter + Frenzel Passau";"H00000351";"Emil-Richter-Str.";"1";"DE";"94036";"Passau";"DE-4949692               ";13.10.2011 00:00:00;19.10.2011 00:00:00;40.00;40.00;617.33;1.00;"Euro";19;"F-R&F";"200";"D002      ";1.00;1;9;"SP00099067722400 0001";"Unterbau neo.2 1200mm";"77";"neo.2";"SP0009906";"7722400 0001";"Richter + Frenzel GmbH + Co.KG, Emil-Richter-Str. 1, DE-94036 Passau"
"9403.6000";"Holzmöbel";"300012235";"300012235-12";12;"Richter + Frenzel Passau";"H00000351";"Emil-Richter-Str.";"1";"DE";"94036";"Passau";"DE-4949692               ";13.10.2011 00:00:00;19.10.2011 00:00:00;32.00;32.00;449.01;1.00;"Euro";19;"F-R&F";"200";"D002      ";1.00;1;9;"SP00099067730301 0001";"Seitenschrank neo.2 350 mm";"77";"neo.2";"SP0009906";"7730301 0001";"Richter + Frenzel GmbH + Co.KG, Emil-Richter-Str. 1, DE-94036 Passau"
"7009.9190";"Glasspiegel";"300012235";"300012235-13";13;"Richter + Frenzel Passau";"H00000351";"Emil-Richter-Str.";"1";"DE";"94036";"Passau";"DE-4949692               ";13.10.2011 00:00:00;19.10.2011 00:00:00;40.00;40.00;696.80;1.00;"Euro";19;"F-R&F";"200";"A000      ";1.00;1;9;"SP00099067741800 0001";"Spiegelschrank neo.2 1200mm";"77";"neo.2";"SP0009906";"7741800 0001";"Richter + Frenzel GmbH + Co.KG, Emil-Richter-Str. 1, DE-94036 Passau"
"9403.9090";"Möbelteile aus Holz";"300012327";"300012327-10";10;"Richter + Frenzel Kempten";"H00000357";"Bleicherstr.";"36";"DE";"87437";"Kempten";"DE-4949692               ";20.10.2011 00:00:00;26.10.2011 00:00:00;15.00;15.00;656.00;1.00;"Euro";19;"ADE";"200";;;1;0;"SP00099647704700 0001";"ABF Kunstharz neo.2 2400mm";"77";"neo.2";"SP0009964";"7704700 0001";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten"
"9403.6000";"Holzmöbel";"300012327";"300012327-20";20;"Richter + Frenzel Kempten";"H00000357";"Bleicherstr.";"36";"DE";"87437";"Kempten";"DE-4949692               ";20.10.2011 00:00:00;26.10.2011 00:00:00;21.00;42.00;1566.00;2.00;"Euro";19;"ADE";"200";;;1;0;"3000123277724400 0001";"Unterbau neo.2 1200mm";"77";"neo.2";"300012327";"7724400 0001";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten"
"9403.6000";"Holzmöbel";"300012327";"300012327-21";21;"Richter + Frenzel Kempten";"H00000357";"Bleicherstr.";"36";"DE";"87437";"Kempten";"DE-4949692               ";20.10.2011 00:00:00;26.10.2011 00:00:00;36.00;36.00;599.00;1.00;"Euro";19;"ADE";"200";;;1;0;"3000123277730501 0001";"Seitenschrank neo.2 450 mm";"77";"neo.2";"300012327";"7730501 0001";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten"
"9403.6000";"Holzmöbel";"300012327";"300012327-22";22;"Richter + Frenzel Kempten";"H00000357";"Bleicherstr.";"36";"DE";"87437";"Kempten";"DE-4949692               ";20.10.2011 00:00:00;26.10.2011 00:00:00;45.00;45.00;924.00;1.00;"Euro";19;"ADE";"200";;;1;0;"3000123277731002 0001";"Seitenschrank neo.2 450 mm";"77";"neo.2";"300012327";"7731002 0001";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten"
"9403.6000";"Holzmöbel";"300012327";"300012327-23";23;"Richter + Frenzel Kempten";"H00000357";"Bleicherstr.";"36";"DE";"87437";"Kempten";"DE-4949692               ";20.10.2011 00:00:00;26.10.2011 00:00:00;30.00;30.00;717.00;1.00;"Euro";19;"ADE";"200";;;1;0;"3000123277728200 0001";"Rollboy neo.2 900 mm";"77";"neo.2";"300012327";"7728200 0001";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten"
"7009.9190";"Glasspiegel";"300012327";"300012327-30";30;"Richter + Frenzel Kempten";"H00000357";"Bleicherstr.";"36";"DE";"87437";"Kempten";"DE-4949692               ";20.10.2011 00:00:00;26.10.2011 00:00:00;33.00;33.00;1620.00;1.00;"Euro";19;"ADE";"200";;;1;5;"3000123277763201 0001";"Lichtspiegel neo.2 1200mm";"77";"neo.2";"300012327";"7763201 0001";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten"
"7009.9190";"Glasspiegel";"300012327";"300012327-31";31;"Richter + Frenzel Kempten";"H00000357";"Bleicherstr.";"36";"DE";"87437";"Kempten";"DE-4949692               ";20.10.2011 00:00:00;26.10.2011 00:00:00;33.00;33.00;1620.00;1.00;"Euro";19;"ADE";"200";;;1;5;"3000123277763202 0001";"Lichtspiegel neo.2 1200mm";"77";"neo.2";"300012327";"7763202 0001";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten"
