"VK-Auftrag";"VK-Position";"VK";"Lieferadresse";"KundeName";"Tour";"MengeTotal";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"ArtikelGruppe_ID";"ArtikelgruppeBezeichnung";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"Wechselkurs";"Produktionsauftrag";"ZollPosition_Nr";"ZollPosition_Bezeichnung"
"300012191";20;"300012191-20";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";1.00;"3000121915920400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";09.09.2011 00:00:00;09.09.2011 00:00:00;26.00;26.00;350.76;0.76;;"9403.6000";"Holzmöbel"
"300012191";21;"300012191-21";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";1.00;"3000121915940700 0001                          ";"Spiegelschrank MyStyle 1000mm";"59";"MyStyle / cubito";330;"Spiegelschränke";09.09.2011 00:00:00;09.09.2011 00:00:00;32.00;32.00;475.52;0.76;;"9403.6000";"Holzmöbel"
"300012191";22;"300012191-22";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";1.00;"3000121915940600 0001                          ";"Spiegelschrank MyStyle 750 mm";"59";"MyStyle / cubito";330;"Spiegelschränke";09.09.2011 00:00:00;09.09.2011 00:00:00;24.00;24.00;414.79;0.76;;"9403.6000";"Holzmöbel"
"300012192";10;"300012192-10";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";1.00;"3000121925940402 0001                          ";"Spiegelschrank MyStyle 600 mm";"59";"MyStyle / cubito";330;"Spiegelschränke";13.09.2011 00:00:00;13.09.2011 00:00:00;19.00;19.00;407.72;0.76;;"9403.6000";"Holzmöbel"
"300012193";10;"300012193-10";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";1.00;"3000121935940301 0001                          ";"Spiegelschrank MyStyle 600 mm";"59";"MyStyle / cubito";330;"Spiegelschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;19.00;19.00;407.72;0.76;;"9403.6000";"Holzmöbel"
"300012194";10;"300012194-10";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";1.00;"3000121945920100 0001                          ";"Unterschrank MyStyle 410 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;12.00;12.00;225.52;0.76;;"9403.6000";"Holzmöbel"
"300012195";10;"300012195-10";"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"R&F";1.00;"3000121955920600 0001                          ";"Unterschrank MyStyle 1240mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;54.00;54.00;834.75;0.76;;"9403.6000";"Holzmöbel"
"300012196";10;"300012196-10";"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"R&F";1.00;"3000121965920400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;350.76;0.76;;"9403.6000";"Holzmöbel"
"300012196";11;"300012196-11";"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"R&F";1.00;"3000121965931101 0001                          ";"Seitenschrank MyStyle 410mm";"59";"MyStyle / cubito";370;"Seitenschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;30.00;30.00;306.97;0.76;;"9403.6000";"Holzmöbel"
"300012197";10;"300012197-10";"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"R&F";1.00;"3000121975920300 0001                          ";"Unterschrank MyStyle 540 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;23.00;23.00;341.34;0.76;;"9403.6000";"Holzmöbel"
"300012198";10;"300012198-10";"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"R&F";1.00;"3000121985940500 0001                          ";"Spiegelschrank MyStyle 900 mm";"59";"MyStyle / cubito";330;"Spiegelschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;29.00;29.00;501.89;0.76;;"9403.6000";"Holzmöbel"
"300012199";10;"300012199-10";"Richter + Frenzel GmbH + Co.KG, Fichtenweg 2, DE-99198 Kerspleben";"Richter + Frenzel Erfurt-Kerspleben";"R&F";1.00;"3000121995920400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;350.76;0.76;;"9403.6000";"Holzmöbel"
