"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"KundeName";"Warenempfänger";"A_Adresse";"A_Hausnummer";"Land";"Postleitzahl";"Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt";"Tour";"VersandLager";"Lagerplatz";"LagerBestand";"Eingelagert";"PA_Status";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"Projekt";"ProjektArtikel"
"9403.6000";"Holzmöbel";"300012237";"300012237-11";11;"Richter + Frenzel Regensburg-Obertr";"H00000350";"Ernst-Frenzel-Str.";"4";"DE";"93083";"Obertraubling";"DE-4949692               ";29.09.2011 00:00:00;05.10.2011 00:00:00;40.00;40.00;630.42;1.00;"Euro";19;"R&F";"200";"F010      ";1.00;1;9;"SP00098927722400 0001";"Unterbau neo.2 1200mm";"77";"neo.2";"SP0009892";"7722400 0001"
"9403.6000";"Holzmöbel";"300012237";"300012237-12";12;"Richter + Frenzel Regensburg-Obertr";"H00000350";"Ernst-Frenzel-Str.";"4";"DE";"93083";"Obertraubling";"DE-4949692               ";29.09.2011 00:00:00;05.10.2011 00:00:00;32.00;32.00;400.19;1.00;"Euro";19;"R&F";"200";"B22       ";1.00;1;9;"SP00098927730402 0001";"Seitenschrank neo.2 350 mm";"77";"neo.2";"SP0009892";"7730402 0001"
"9403.6000";"Holzmöbel";"300012237";"300012237-13";13;"Richter + Frenzel Regensburg-Obertr";"H00000350";"Ernst-Frenzel-Str.";"4";"DE";"93083";"Obertraubling";"DE-4949692               ";29.09.2011 00:00:00;05.10.2011 00:00:00;32.00;32.00;400.19;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00098927730301 0001";"Seitenschrank neo.2 350 mm";"77";"neo.2";"SP0009892";"7730301 0001"
"9403.6000";"Holzmöbel";"300012237";"300012237-14";14;"Richter + Frenzel Regensburg-Obertr";"H00000350";"Ernst-Frenzel-Str.";"4";"DE";"93083";"Obertraubling";"DE-4949692               ";29.09.2011 00:00:00;05.10.2011 00:00:00;37.00;37.00;533.90;1.00;"Euro";19;"R&F";"200";"I21       ";1.00;1;9;"SP00098927740800 0001";"Spiegelschrank neo.2 1200mm";"77";"neo.2";"SP0009892";"7740800 0001"
"9403.6000";"Holzmöbel";"300012285";"300012285-10";10;"Richter + Frenzel Kolbermoor";"H00000343";"Carl-Jordan-Str.";"10";"DE";"83059";"Kolbermoor";"DE-4949692               ";30.09.2011 00:00:00;23.09.2011 00:00:00;35.50;35.50;420.67;1.00;"Euro";19;"R&F";"200";"G003      ";1.00;1;9;"SP00099518420400 0001";"Unterbau MyStar 960 mm";"84";"MyStar";"SP0009951";"8420400 0001"
"9403.6000";"Holzmöbel";"300012285";"300012285-11";11;"Richter + Frenzel Kolbermoor";"H00000343";"Carl-Jordan-Str.";"10";"DE";"83059";"Kolbermoor";"DE-4949692               ";30.09.2011 00:00:00;30.09.2011 00:00:00;26.00;26.00;264.60;1.00;"Euro";19;"R&F";"200";"G003      ";1.00;1;9;"SP00099518430100 0001";"Hochschrank MyStar 350mm";"84";"MyStar";"SP0009951";"8430100 0001"
"9403.6000";"Holzmöbel";"300012285";"300012285-20";20;"Richter + Frenzel Kolbermoor";"H00000343";"Carl-Jordan-Str.";"10";"DE";"83059";"Kolbermoor";"DE-4949692               ";30.09.2011 00:00:00;23.09.2011 00:00:00;34.00;34.00;607.82;1.00;"Euro";19;"R&F";"200";"A000      ";1.00;1;9;"SP00099515941700 0001";"Spiegelschrank MyStyle 1000mm";"59";"MyStyle / cubito";"SP0009951";"5941700 0001"
"7009.9190";"Glasspiegel";"300012306";"300012306-10";10;"Richter + Frenzel Augsburg";"H00000347";"Stauffenbergstr.";"5-9";"DE";"86161";"Augsburg";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;33.00;33.00;991.53;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00099337763201 0001";"Lichtspiegel neo.2 1100mm";"77";"neo.2";"SP0009933";"7763201 0001"
"7009.9190";"Glasspiegel";"300012306";"300012306-11";11;"Richter + Frenzel Augsburg";"H00000347";"Stauffenbergstr.";"5-9";"DE";"86161";"Augsburg";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;33.00;33.00;991.53;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00099337763202 0001";"Lichtspiegel neo.2 1100mm";"77";"neo.2";"SP0009933";"7763202 0001"
"9403.9090";"Möbelteile aus Holz";"300012307";"300012307-10";10;"Richter + Frenzel Passau";"H00000351";"Emil-Richter-Str.";"1";"DE";"94036";"Passau";"DE-4949692               ";29.09.2011 00:00:00;29.09.2011 00:00:00;8.00;8.00;191.15;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00099306010000 0001";"Waschtischplatte KH 900 mm";"60";"Nara";"SP0009930";"6010000 0001"
